ItemId,Domain,Domain #,Question #
49552,Organizational and Administrative Responsibilities,5,1
49432,Athlete Testing and Evaluation,4,2
49497,Organizational and Administrative Responsibilities,5,3
49473,Organizational and Administrative Responsibilities,5,4
49425,Program Design and Development,2,5
49503,Athlete Testing and Evaluation,4,6
49286,Program Design and Development,2,7
49563,Athlete Education and Training,3,8
49544,Organizational and Administrative Responsibilities,5,9
49334,Program Design and Development,2,10
49506,Program Design and Development,2,11
49486,Athlete Testing and Evaluation,4,12
49536,Athlete Education and Training,3,13
49354,Assessment of Performance Needs,1,14
49568,Athlete Education and Training,3,15
49318,Program Design and Development,2,16
49343,Assessment of Performance Needs,1,17
49749,Organizational and Administrative Responsibilities,5,18
49360,Assessment of Performance Needs,1,19
49255,Athlete Testing and Evaluation,4,20
49356,Assessment of Performance Needs,1,21
49490,Organizational and Administrative Responsibilities,5,22
49555,Athlete Education and Training,3,23
49415,Athlete Testing and Evaluation,4,24
49545,Athlete Education and Training,3,25
49242,Program Design and Development,2,26
49511,Athlete Education and Training,3,27
49547,Athlete Education and Training,3,28
49265,Athlete Testing and Evaluation,4,29
49483,Athlete Testing and Evaluation,4,30
49189,Assessment of Performance Needs,1,31
49258,Program Design and Development,2,32
49466,Athlete Education and Training,3,33
49430,Athlete Testing and Evaluation,4,34
49530,Organizational and Administrative Responsibilities,5,35
49337,Assessment of Performance Needs,1,36
49463,Organizational and Administrative Responsibilities,5,37
49413,Assessment of Performance Needs,1,38
49194,Program Design and Development,2,39
49250,Assessment of Performance Needs,1,40
49485,Athlete Education and Training,3,41
49291,Assessment of Performance Needs,1,42
49402,Assessment of Performance Needs,1,43
49550,Organizational and Administrative Responsibilities,5,44
49282,Program Design and Development,2,45
49521,Athlete Testing and Evaluation,4,46
49514,Athlete Testing and Evaluation,4,47
49531,Organizational and Administrative Responsibilities,5,48
49268,Athlete Education and Training,3,49
49489,Athlete Testing and Evaluation,4,50
49387,Assessment of Performance Needs,1,51
49554,Athlete Education and Training,3,52
49206,Program Design and Development,2,53
49225,Assessment of Performance Needs,1,54
49399,Program Design and Development,2,55
49567,Organizational and Administrative Responsibilities,5,56
49414,Athlete Education and Training,3,57
49347,Assessment of Performance Needs,1,58
49411,Program Design and Development,2,59
49261,Assessment of Performance Needs,1,60
49481,Program Design and Development,2,61
49559,Athlete Education and Training,3,62
49491,Organizational and Administrative Responsibilities,5,63
49564,Athlete Testing and Evaluation,4,64
49346,Athlete Education and Training,3,65
49419,Athlete Testing and Evaluation,4,66
49394,Assessment of Performance Needs,1,67
49476,Athlete Testing and Evaluation,4,68
49526,Organizational and Administrative Responsibilities,5,69
49561,Athlete Education and Training,3,70
49501,Athlete Education and Training,3,71
49234,Athlete Testing and Evaluation,4,72
49280,Assessment of Performance Needs,1,73
49462,Organizational and Administrative Responsibilities,5,74
49488,Program Design and Development,2,75
49560,Organizational and Administrative Responsibilities,5,76
49464,Organizational and Administrative Responsibilities,5,77
49226,Program Design and Development,2,78
49533,Organizational and Administrative Responsibilities,5,79
49424,Athlete Education and Training,3,80
49575,Program Design and Development,2,81
49349,Assessment of Performance Needs,1,82
49266,Athlete Education and Training,3,83
49467,Organizational and Administrative Responsibilities,5,84
49247,Athlete Education and Training,3,85
49477,Organizational and Administrative Responsibilities,5,86
49510,Program Design and Development,2,87
49325,Program Design and Development,2,88
49745,Athlete Testing and Evaluation,4,89
49537,Program Design and Development,2,90
49316,Program Design and Development,2,91
49434,Organizational and Administrative Responsibilities,5,92
49558,Athlete Education and Training,3,93
49494,Athlete Testing and Evaluation,4,94
49397,Assessment of Performance Needs,1,95
49433,Athlete Education and Training,3,96
49469,Organizational and Administrative Responsibilities,5,97
49520,Athlete Testing and Evaluation,4,98
49569,Program Design and Development,2,99
49335,Assessment of Performance Needs,1,100
49217,Athlete Education and Training,3,101
49746,Athlete Testing and Evaluation,4,102
49551,Athlete Education and Training,3,103
49385,Assessment of Performance Needs,1,104
49232,Assessment of Performance Needs,1,105
49429,Athlete Testing and Evaluation,4,106
49517,Program Design and Development,2,107
49527,Athlete Education and Training,3,108
49437,Program Design and Development,2,109
49496,Athlete Testing and Evaluation,4,110
49556,Athlete Education and Training,3,111
49744,Athlete Testing and Evaluation,4,112
49391,Assessment of Performance Needs,1,113
49543,Athlete Testing and Evaluation,4,114
49480,Program Design and Development,2,115
49540,Athlete Education and Training,3,116
49522,Organizational and Administrative Responsibilities,5,117
49460,Athlete Education and Training,3,118
49524,Organizational and Administrative Responsibilities,5,119
49410,Assessment of Performance Needs,1,120
49412,Program Design and Development,2,121
49277,Assessment of Performance Needs,1,122
49249,Program Design and Development,2,123
49508,Athlete Testing and Evaluation,4,124
49405,Assessment of Performance Needs,1,125
49351,Assessment of Performance Needs,1,126
49557,Athlete Education and Training,3,127
49295,Assessment of Performance Needs,1,128
49404,Program Design and Development,2,129
49198,Athlete Testing and Evaluation,4,130
49572,Athlete Education and Training,3,131
49263,Program Design and Development,2,132
49529,Organizational and Administrative Responsibilities,5,133
49203,Program Design and Development,2,134
49319,Athlete Testing and Evaluation,4,135
49498,Program Design and Development,2,136
49196,Assessment of Performance Needs,1,137
49525,Athlete Testing and Evaluation,4,138
49516,Athlete Testing and Evaluation,4,139
49341,Assessment of Performance Needs,1,140
49515,Athlete Testing and Evaluation,4,141
49479,Program Design and Development,2,142
49288,Program Design and Development,2,143
49311,Program Design and Development,2,144
49388,Program Design and Development,2,145
49502,Athlete Education and Training,3,146
49228,Program Design and Development,2,147
49428,Organizational and Administrative Responsibilities,5,148
49407,Assessment of Performance Needs,1,149
49421,Athlete Testing and Evaluation,4,150
